1;St Pierre;Galiléen;33;64
2;St Lin;Toscan;64;76
3;St Anaclet;Romain;76;88
4;St Clément I;Romain;88;97
5;St Évariste;Grec;97;105
6;Alexandre I;Romain;105;115
7;St Sixte I;Romain;115;125
8;Télesphore;Grec;125;136
9;St Hygin;Grec;136;140
10;St Pie I;Italien;140;155
11;St Anicet;Syrien;155;166
12;St Soter;Campanien;166;175
13;St Eleuthère;Grec;175;189
14;St Victor I;Africain;189;199
15;St Zéphyrin;Romain;199;217
16;St Calixte I;Romain;217;222
17;St Urbain I;Romain;222;230
18;St Pontien;Romain;21/07/230;28/09/235
19;St Anthère;Grec;21/11/235;03/01/236
20;St Fabien;Romain;10/01/236;20/01/250
21;St Corneille;Romain;13/03/251;06/253
22;St Lucius I;Romain;25/06/253;05/03/254
23;St Etienne I;Romain;12/05/254;02/08/257
24;St Sixte II;Grec;30/08/257;06/08/258
25;St Denys;Inconnue;22/07/260;26/12/268
26;St Félix I;Romain;05/01/269;30/12/274
27;St Eutychien;Toscan;04/01/275;07/12/283
28;St Caïus;Dalmate;17/12/283;22/04/296
29;St Marcellin;Romain;30/06/296;25/10/304
30;St Marcel I;Romain;27/05/308;16/01/309
31;St Eusèbe;Grec;18/04/309;17/08/309
32;St Miltiade;Africain;02/07/311;10/01/314
33;St Sylvestre I;Romain;31/01/314;31/12/335
34;St Marc;Romain;18/01/336;07/10/336
35;St Jules I;Romain;06/02/337;12/04/352
36;Libère;Romain;17/05/352;24/09/366
37;St Damase I;Espagnol;01/10/366;11/12/384
38;St Sirice;Romain;11/12/384;26/11/399
39;St Anastase I;Romain;27/11/399;19/12/401
40;St Innocent I;Latium;22/12/401;12/03/417
41;St Zosime;Grec;18/03/417;26/12/418
42;St Boniface I;Romain;28/12/418;04/09/422
43;St Célestin I;Campanien;10/09/422;27/07/432
44;St Sixte III;Romain;31/07/432;19/08/440
45;St Léon I;Toscan;29/09/440;10/11/461
46;St Hilaire;Sarde;19/11/461;29/02/468
47;St Simplice;Tivoli;03/03/468;10/03/483
48;St Félix III;Romain;13/03/483;01/03/492
49;St Gélase I;Africain;01/03/492;21/11/496
50;Anastase II;Romain;24/11/496;19/11/498
51;St Symmaque;Sarde;22/11/498;19/07/514
52;St Hormisdas;Latium;20/07/514;06/08/523
53;St Jean I;Toscan;13/08/523;18/05/526
54;St Félix IV;Italien;12/07/526;22/09/530
55;Boniface II;Romain;22/09/530;17/10/532
56;Jean II;Romain;02/01/533;08/05/535
57;St Agapet I;Romain;13/05/535;22/04/536
58;St Silvère;Campanien;08/06/536;11/03/537
59;Vigile;Romain;29/03/537;07/06/555
60;Pélage I;Romain;16/04/556;04/03/561
61;Jean III;Romain;17/07/561;13/07/574
62;Benoît I;Romain;02/06/575;30/07/579
63;Pélage II;Romain;26/11/579;07/02/590
64;St Grégoire I;Romain;03/09/590;12/03/604
65;Sabinien;Toscan;13/09/604;22/02/606
66;Boniface III;Romain;19/02/607;12/11/607
67;St Boniface IV;Italien;15/09/608;08/05/615
68;Adéodat I;Romain;19/10/615;08/11/618
69;Boniface V;Napolitain;23/12/619;25/10/625
70;Honorius I;Campanien;27/10/625;12/10/638
71;Séverin;Romain;28/05/640;02/08/640
72;Jean IV;Dalmate;24/12/640;12/10/642
73;Théodore I;Grec;24/11/642;14/05/649
74;St Martin I;Italien;05/07/649;17/06/653
75;St Eugène I;Romain;10/08/654;02/06/657
76;St Vitalien;Italien;30/07/657;27/01/672
77;Adéodat II;Romain;11/04/672;17/06/676
78;Donus;Romain;02/11/676;11/04/678
79;St Agathon;Sicilien;27/06/678;10/01/681
80;St Léon II;Sicilien;17/08/682;03/07/683
81;St Benoît II;Romain;26/06/684;08/05/685
82;Jean V;Syrien;23/07/685;02/08/686
83;Conon;Inconnue;21/10/686;21/09/687
